Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m01818[c],fatty acid-retinol pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01818[s],fatty acid-retinol pool,CHO2R,CHO2R,0,s,C00162,,CHEBI:35366,,
m01819[s],fatty acid-uptake pool,CHO2R,CHO2R,0,s,C00162,,CHEBI:35366,,
m01820[s],fatty acid-VLDL pool,CHO2R,CHO2R,0,s,C00162,,CHEBI:35366,,
m02772[c],propanoate,C3H6O2,C3H6O2,0,c,C00163,,CHEBI:30768;CHEBI:17272,,
m02772[m],propanoate,C3H6O2,C3H6O2,0,m,C00163,,CHEBI:30768;CHEBI:17272,,
m02772[p],propanoate,C3H6O2,C3H6O2,0,p,C00163,,CHEBI:30768;CHEBI:17272,,
m02772[s],propanoate,C3H6O2,C3H6O2,0,s,C00163,,CHEBI:30768;CHEBI:17272,,
m01253[c],acetoacetate,C4H6O3,C4H6O3,0,c,C00164,,CHEBI:13705;CHEBI:15344,,
m01253[m],acetoacetate,C4H6O3,C4H6O3,0,m,C00164,,CHEBI:13705;CHEBI:15344,,
m01253[s],acetoacetate,C4H6O3,C4H6O3,0,s,C00164,,CHEBI:13705;CHEBI:15344,,
m02725[c],phenylpyruvate,C9H8O3,C9H8O3,0,c,C00166,,CHEBI:30851,,
m03109[c],UDP-glucuronate,C15H22N2O18P2,C15H22N2O18P2,0,c,C00167,,CHEBI:17200,,
m03109[g],UDP-glucuronate,C15H22N2O18P2,C15H22N2O18P2,0,g,C00167,,CHEBI:17200,,
m03109[r],UDP-glucuronate,C15H22N2O18P2,C15H22N2O18P2,0,r,C00167,,CHEBI:17200,,
m02154[c],hydroxypyruvate,C3H4O4,C3H4O4,0,c,C00168,,CHEBI:30841,,
m02154[m],hydroxypyruvate,C3H4O4,C3H4O4,0,m,C00168,,CHEBI:30841,,
m02154[p],hydroxypyruvate,C3H4O4,C3H4O4,0,p,C00168,,CHEBI:30841,,
m01420[c],carbamoyl-phosphate,CH4NO5P,CH4NO5P,0,c,C00169,,CHEBI:17672,,
m01420[m],carbamoyl-phosphate,CH4NO5P,CH4NO5P,0,m,C00169,,CHEBI:17672,,
m01420[r],carbamoyl-phosphate,CH4NO5P,CH4NO5P,0,r,C00169,,CHEBI:17672,,
m01116[c],5-methylthioadenosine,C11H15N5O3S,C11H15N5O3S,0,c,C00170,,CHEBI:17509,,
m02997[c],thymine,C5H6N2O2,C5H6N2O2,0,c,C00178,,CHEBI:17821,,
m02997[m],thymine,C5H6N2O2,C5H6N2O2,0,m,C00178,,CHEBI:17821,,
m02997[s],thymine,C5H6N2O2,C5H6N2O2,0,s,C00178,,CHEBI:17821,,
m01303[c],agmatine,C5H14N4,C5H14N4,0,c,C00179,,CHEBI:17431,,
m01303[m],agmatine,C5H14N4,C5H14N4,0,m,C00179,,CHEBI:17431,,
m01303[s],agmatine,C5H14N4,C5H14N4,0,s,C00179,,CHEBI:17431,,
m01380[c],benzoate,C7H6O2,C7H6O2,0,c,C00180,,CHEBI:30746,,
m01380[r],benzoate,C7H6O2,C7H6O2,0,r,C00180,,CHEBI:30746,,
m01758[c],D-xylose,C5H10O5,C5H10O5,0,c,C00181,,CHEBI:15936,,
m01758[l],D-xylose,C5H10O5,C5H10O5,0,l,C00181,,CHEBI:15936,,
m01758[s],D-xylose,C5H10O5,C5H10O5,0,s,C00181,,CHEBI:15936,,
m03161[c],glycogen,C24H42O21,C24H42O21,0,c,C00182,,CHEBI:28087,,
m03161[s],glycogen,C24H42O21,C24H42O21,0,s,C00182,,CHEBI:28087,,
m03135[c],valine,C5H11NO2,C5H11NO2,0,c,C00183,,CHEBI:16414,,
m03135[l],valine,C5H11NO2,C5H11NO2,0,l,C00183,,CHEBI:16414,,
m03135[m],valine,C5H11NO2,C5H11NO2,0,m,C00183,,CHEBI:16414,,
m03135[s],valine,C5H11NO2,C5H11NO2,0,s,C00183,,CHEBI:16414,,
m01984[s],glycerone,C3H6O3,C3H6O3,0,s,C00184,,CHEBI:16016,,
m02403[c],L-lactate,C3H6O3,C3H6O3,0,c,C00186,,CHEBI:422,,
m02403[m],L-lactate,C3H6O3,C3H6O3,0,m,C00186,,CHEBI:422,,
m02403[p],L-lactate,C3H6O3,C3H6O3,0,p,C00186,,CHEBI:422,,
m02403[s],L-lactate,C3H6O3,C3H6O3,0,s,C00186,,CHEBI:422,,
m01450[c],cholesterol,C27H46O,C27H46O,0,c,C00187,,CHEBI:16113,,
m01450[g],cholesterol,C27H46O,C27H46O,0,g,C00187,,CHEBI:16113,,
m01450[l],cholesterol,C27H46O,C27H46O,0,l,C00187,,CHEBI:16113,,
m01450[m],cholesterol,C27H46O,C27H46O,0,m,C00187,,CHEBI:16113,,
m01450[r],cholesterol,C27H46O,C27H46O,0,r,C00187,,CHEBI:16113,,
m01450[s],cholesterol,C27H46O,C27H46O,0,s,C00187,,CHEBI:16113,,
m02993[c],threonine,C4H9NO3,C4H9NO3,0,c,C00188,,CHEBI:16857,,
m02993[l],threonine,C4H9NO3,C4H9NO3,0,l,C00188,,CHEBI:16857,,
m02993[m],threonine,C4H9NO3,C4H9NO3,0,m,C00188,,CHEBI:16857,,
m02993[s],threonine,C4H9NO3,C4H9NO3,0,s,C00188,,CHEBI:16857,,
m01797[c],ethanolamine,C2H7NO,C2H7NO,0,c,C00189,,CHEBI:16000,,
m01797[s],ethanolamine,C2H7NO,C2H7NO,0,s,C00189,,CHEBI:16000,,
m03112[c],UDP-xylose,C14H22N2O16P2,C14H22N2O16P2,0,c,C00190,,CHEBI:16082,,
m03112[g],UDP-xylose,C14H22N2O16P2,C14H22N2O16P2,0,g,C00190,,CHEBI:16082,,
m03112[r],UDP-xylose,C14H22N2O16P2,C14H22N2O16P2,0,r,C00190,,CHEBI:16082,,
m01973[c],glucuronate,C6H10O7,C6H10O7,0,c,C00191,,CHEBI:4178;CHEBI:15748,,
m01973[l],glucuronate,C6H10O7,C6H10O7,0,l,C00191,,CHEBI:4178;CHEBI:15748,,
m01973[r],glucuronate,C6H10O7,C6H10O7,0,r,C00191,,CHEBI:4178;CHEBI:15748,,
m01600[m],cobamide-coenzyme,C72H100CoN18O17P,C72H100CoN18O17P,0,m,C00194,,CHEBI:8408,,
m01430[c],ceramide pool,C19H36NO3R,C19H36NO3R,0,c,C00195,,CHEBI:52639,,
m01430[g],ceramide pool,C19H36NO3R,C19H36NO3R,0,g,C00195,,CHEBI:52639,,
m01430[l],ceramide pool,C19H36NO3R,C19H36NO3R,0,l,C00195,,CHEBI:52639,,
m01430[r],ceramide pool,C19H36NO3R,C19H36NO3R,0,r,C00195,,CHEBI:52639,,
m00913[c],3-phospho-D-glycerate,C3H7O7P,C3H7O7P,0,c,C00197,,CHEBI:17794,,
m00913[m],3-phospho-D-glycerate,C3H7O7P,C3H7O7P,0,m,C00197,,CHEBI:17794,,
m02846[c],ribulose-5-phosphate,C5H11O8P,C5H11O8P,0,c,C00199,,CHEBI:17363,,
m02846[r],ribulose-5-phosphate,C5H11O8P,C5H11O8P,0,r,C00199,,CHEBI:17363,,
m03110[c],UDP-N-acetyl-D-galactosamine,C17H27N3O17P2,C17H27N3O17P2,0,c,C00203,,CHEBI:16650,,
m03110[g],UDP-N-acetyl-D-galactosamine,C17H27N3O17P2,C17H27N3O17P2,0,g,C00203,,CHEBI:16650,,
m03110[l],UDP-N-acetyl-D-galactosamine,C17H27N3O17P2,C17H27N3O17P2,0,l,C00203,,CHEBI:16650,,
m03110[r],UDP-N-acetyl-D-galactosamine,C17H27N3O17P2,C17H27N3O17P2,0,r,C00203,,CHEBI:16650,,
m01637[c],dADP,C10H15N5O9P2,C10H15N5O9P2,0,c,C00206,,CHEBI:16174,,
m01637[m],dADP,C10H15N5O9P2,C10H15N5O9P2,0,m,C00206,,CHEBI:16174,,
m01637[n],dADP,C10H15N5O9P2,C10H15N5O9P2,0,n,C00206,,CHEBI:16174,,
m01256[c],acetone,C3H6O,C3H6O,0,c,C00207,,CHEBI:15347,,
m01256[m],acetone,C3H6O,C3H6O,0,m,C00207,,CHEBI:15347,,
m01256[s],acetone,C3H6O,C3H6O,0,s,C00207,,CHEBI:15347,,
m02450[c],maltose,C12H22O11,C12H22O11,0,c,C00208,,CHEBI:17306,,
m02450[l],maltose,C12H22O11,C12H22O11,0,l,C00208,,CHEBI:17306,,
m02450[s],maltose,C12H22O11,C12H22O11,0,s,C00208,,CHEBI:17306,,
m02661[c],oxalate,C2H2O4,C2H2O4,0,c,C00209,,CHEBI:16995,,
m02661[m],oxalate,C2H2O4,C2H2O4,0,m,C00209,,CHEBI:16995,,
m02661[p],oxalate,C2H2O4,C2H2O4,0,p,C00209,,CHEBI:16995,,
