Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m00003[c],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,c,,,,,
m00003[l],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,l,,,,,
m00003[r],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,r,,,,,
m00003[s],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,s,,,,,
m00004[c],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,c,,,,,
m00004[m],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,m,,,,,
m00004[r],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,r,,,,,
m00006[c],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,,,,,
m00006[m],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,,,,,
m00006[r],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,r,,,,,
m00011[c],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,c,,,,,
m00011[m],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,m,,,,,
m00011[r],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,r,,,,,
m00014[p],(13E)-tetranor-16-carboxy-LTE4,C19H27NO7S,C19H27NO7S,0,p,,,,,
m00015[p],(13E)-tetranor-16-oxo-16-CoA-LTE4,C40H61N8O22P3S2,C40H61N8O22P3S2,0,p,,,,,
m00017[c],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,c,,,,,
m00017[l],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,l,,,,,
m00017[r],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,r,,,,,
m00017[s],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,s,,,,,
m00018[c],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,,,,,
m00018[m],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,,,,,
m00018[p],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,,,,,
m00018[r],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,r,,,,,
m00019[c],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,c,,,,,
m00019[l],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,l,,,,,
m00019[r],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,r,,,,,
m00019[s],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,s,,,,,
m00020[c],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,c,,,,,
m00020[m],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,m,,,,,
m00020[r],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,r,,,,,
m00022[c],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,c,,,,,
m00022[m],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,m,,,,,
m00022[r],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,r,,,,,
m00024[c],(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,c,,,,,
m00024[r],(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,r,,,,,
m00026[m],(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,m,,,,,
m00026[p],(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,p,,,,,
m00027[p],(18E)-20-oxo-20-CoA-LTE4,C44H67N8O22P3S2,C44H67N8O22P3S2,0,p,,,,,
m00028[c],(18R)-HEPE,C20H30O3,C20H30O3,0,c,,,,,
m00029[c],"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid",C20H30O3,C20H30O3,0,c,,,,,
m00040[c],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,,,,,
m00040[m],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,,,,,
m00040[p],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,p,,,,,
m00043[c],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,,,,,
m00043[m],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,,,,,
m00043[p],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,,,,,
m00044[c],(2E)-heneicosenoyl-CoA,C42H74N7O17P3S,C42H74N7O17P3S,0,c,,,,,
m00044[m],(2E)-heneicosenoyl-CoA,C42H74N7O17P3S,C42H74N7O17P3S,0,m,,,,,
m00045[c],(2E)-heptadecenoyl-[ACP],C17H31OSR,C17H31OSR,0,c,,,,,
m00046[m],(2E)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,m,,,,,
m00047[c],(2E)-heptenoyl-[ACP],C7H11OSR,C7H11OSR,0,c,,,,,
m00048[m],(2E)-heptenoyl-CoA,C28H46N7O17P3S,C28H46N7O17P3S,0,m,,,,,
m00049[c],(2E)-hexacosenoyl-CoA,C47H84N7O17P3S,C47H84N7O17P3S,0,c,,,,,
m00049[p],(2E)-hexacosenoyl-CoA,C47H84N7O17P3S,C47H84N7O17P3S,0,p,,,,,
m00054[c],(2E)-nonadecenoyl-CoA,C40H70N7O17P3S,C40H70N7O17P3S,0,c,,,,,
m00054[m],(2E)-nonadecenoyl-CoA,C40H70N7O17P3S,C40H70N7O17P3S,0,m,,,,,
m00055[c],(2E)-nonenoyl-[ACP],C9H15OSR,C9H15OSR,0,c,,,,,
m00056[m],(2E)-nonenoyl-CoA,C30H50N7O17P3S,C30H50N7O17P3S,0,m,,,,,
m00060[c],(2E)-pentadecenoyl-[ACP],C15H27OSR,C15H27OSR,0,c,,,,,
m00061[m],(2E)-pentadecenoyl-CoA,C36H62N7O17P3S,C36H62N7O17P3S,0,m,,,,,
m00062[c],(2E)-pentenoyl-[ACP],C5H7OSR,C5H7OSR,0,c,,,,,
m00063[m],(2E)-pentenoyl-CoA,C26H42N7O17P3S,C26H42N7O17P3S,0,m,,,,,
m00064[c],(2E)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,c,,,,,
m00064[p],(2E)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,p,,,,,
m00067[c],(2E)-tricosenoyl-CoA,C44H78N7O17P3S,C44H78N7O17P3S,0,c,,,,,
m00068[c],(2E)-tridecenoyl-[ACP],C13H23OSR,C13H23OSR,0,c,,,,,
m00069[m],(2E)-tridecenoyl-CoA,C34H58N7O17P3S,C34H58N7O17P3S,0,m,,,,,
m00070[c],(2E)-undecenoyl-[ACP],C11H19OSR,C11H19OSR,0,c,,,,,
m00071[m],(2E)-undecenoyl-CoA,C32H54N7O17P3S,C32H54N7O17P3S,0,m,,,,,
m00072[m],"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",C37H58N7O17P3S,C37H58N7O17P3S,0,m,,,,,
m00072[p],"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",C37H58N7O17P3S,C37H58N7O17P3S,0,p,,,,,
m00073[m],"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",C39H62N7O17P3S,C39H62N7O17P3S,0,m,,,,,
m00073[p],"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",C39H62N7O17P3S,C39H62N7O17P3S,0,p,,,,,
m00074[c],"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",C43H68N7O17P3S,C43H68N7O17P3S,0,c,,,,,
m00075[p],(2R)-pristanoyl-CoA,C40H72N7O17P3S,C40H72N7O17P3S,0,p,,,CHEBI:20067;CHEBI:10983,,
m00076[p],"(2R,6R,10R)-trimethyl-hendecanoyl-CoA",C35H62N7O17P3S,C35H62N7O17P3S,0,p,,,,,
m00077[p],"(2R,6S,10S)-pristanate",C19H38O2,C19H38O2,0,p,,,,,
m00078[p],(2S)-pristanoyl-CoA,C40H72N7O17P3S,C40H72N7O17P3S,0,p,,,CHEBI:64039,,
m00079[p],"(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA",C35H60N7O17P3S,C35H60N7O17P3S,0,p,,,,,
m00080[p],"(2S,6R,10R)-trimethyl-hendecanoyl-CoA",C35H62N7O17P3S,C35H62N7O17P3S,0,p,,,,,
m00081[m],"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",C37H62N7O18P3S,C37H62N7O18P3S,0,m,,,,,
m00081[p],"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",C37H62N7O18P3S,C37H62N7O18P3S,0,p,,,,,
m00082[m],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,C33H56N7O18P3S,C33H56N7O18P3S,0,m,,,,,
m00082[p],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,C33H56N7O18P3S,C33H56N7O18P3S,0,p,,,,,
m00083[m],(3S)-3-hydroxylinoleoyl-CoA,C39H66N7O18P3S,C39H66N7O18P3S,0,m,,,,,
m00083[p],(3S)-3-hydroxylinoleoyl-CoA,C39H66N7O18P3S,C39H66N7O18P3S,0,p,,,,,
m00085[c],"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA",C43H74N7O18P3S,C43H74N7O18P3S,0,c,,,,,
m00086[c],"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA",C41H68N7O18P3S,C41H68N7O18P3S,0,c,,,,,
m00087[c],"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA",C41H70N7O18P3S,C41H70N7O18P3S,0,c,,,,,
m00089[m],"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",C37H60N7O17P3S,C37H60N7O17P3S,0,m,,,,,
m00089[p],"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",C37H60N7O17P3S,C37H60N7O17P3S,0,p,,,,,
m00090[p],"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA",C37H64N7O17P3S,C37H64N7O17P3S,0,p,,,,,
m00091[m],"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",C37H60N7O17P3S,C37H60N7O17P3S,0,m,,,,,
m00091[p],"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",C37H60N7O17P3S,C37H60N7O17P3S,0,p,,,,,
m00092[c],"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,c,,,,,
m00092[m],"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,m,,,,,
m00092[r],"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,r,,,,,
m00094[c],"(4Z,7Z,10Z,13Z,16Z)-DPA",C22H34O2,C22H34O2,0,c,,,CHEBI:65136,,
m00094[l],"(4Z,7Z,10Z,13Z,16Z)-DPA",C22H34O2,C22H34O2,0,l,,,CHEBI:65136,,
m00094[r],"(4Z,7Z,10Z,13Z,16Z)-DPA",C22H34O2,C22H34O2,0,r,,,CHEBI:65136,,
m00094[s],"(4Z,7Z,10Z,13Z,16Z)-DPA",C22H34O2,C22H34O2,0,s,,,CHEBI:65136,,
m00098[c],"(5S,6S)-epoxy-(15R)-hydroxy-ETE",C20H30O4,C20H30O4,0,c,,,,,
m00098[p],"(5S,6S)-epoxy-(15R)-hydroxy-ETE",C20H30O4,C20H30O4,0,p,,,,,
m00098[r],"(5S,6S)-epoxy-(15R)-hydroxy-ETE",C20H30O4,C20H30O4,0,r,,,,,
m00099[m],(5Z)-dodecenoyl-CoA,C33H56N7O17P3S,C33H56N7O17P3S,0,m,,,,,
m00099[p],(5Z)-dodecenoyl-CoA,C33H56N7O17P3S,C33H56N7O17P3S,0,p,,,,,
m00100[c],"(5Z,8Z,11Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,c,,,,,
m00100[m],"(5Z,8Z,11Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,m,,,,,
m00100[r],"(5Z,8Z,11Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,r,,,,,
m00101[c],"(5Z,8Z,11Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,c,,,,,
m00101[m],"(5Z,8Z,11Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,m,,,,,
m00101[r],"(5Z,8Z,11Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,r,,,,,
m00102[c],"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",C27H43NO4,C27H43NO4,0,c,,,,,
m00102[m],"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",C27H43NO4,C27H43NO4,0,m,,,,,
m00102[r],"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",C27H43NO4,C27H43NO4,0,r,,,,,
m00104[c],"(6Z,9Z)-octadecadienoic acid",C18H32O2,C18H32O2,0,c,,,,,
m00104[l],"(6Z,9Z)-octadecadienoic acid",C18H32O2,C18H32O2,0,l,,,,,
m00104[r],"(6Z,9Z)-octadecadienoic acid",C18H32O2,C18H32O2,0,r,,,,,
m00104[s],"(6Z,9Z)-octadecadienoic acid",C18H32O2,C18H32O2,0,s,,,,,
m00105[c],"(6Z,9Z)-octadecadienoylcarnitine",C25H45NO4,C25H45NO4,0,c,,,,,
m00105[m],"(6Z,9Z)-octadecadienoylcarnitine",C25H45NO4,C25H45NO4,0,m,,,,,
m00105[r],"(6Z,9Z)-octadecadienoylcarnitine",C25H45NO4,C25H45NO4,0,r,,,,,
m00106[c],"(6Z,9Z)-octadecadienoyl-CoA",C39H66N7O17P3S,C39H66N7O17P3S,0,c,,,,,
m00106[m],"(6Z,9Z)-octadecadienoyl-CoA",C39H66N7O17P3S,C39H66N7O17P3S,0,m,,,,,
m00106[r],"(6Z,9Z)-octadecadienoyl-CoA",C39H66N7O17P3S,C39H66N7O17P3S,0,r,,,,,
m00107[c],"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine",C25H41NO4,C25H41NO4,0,c,,,,,
m00107[m],"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine",C25H41NO4,C25H41NO4,0,m,,,,,
m00107[r],"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine",C25H41NO4,C25H41NO4,0,r,,,,,
m00109[c],"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine",C31H51NO4,C31H51NO4,0,c,,,,,
m00109[r],"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine",C31H51NO4,C31H51NO4,0,r,,,,,
m00111[c],"(6Z,9Z,12Z,15Z,18Z)-TPA",C24H38O2,C24H38O2,0,c,,,,,
m00111[l],"(6Z,9Z,12Z,15Z,18Z)-TPA",C24H38O2,C24H38O2,0,l,,,,,
m00111[r],"(6Z,9Z,12Z,15Z,18Z)-TPA",C24H38O2,C24H38O2,0,r,,,,,
m00111[s],"(6Z,9Z,12Z,15Z,18Z)-TPA",C24H38O2,C24H38O2,0,s,,,,,
m00112[c],"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine",C31H49NO4,C31H49NO4,0,c,,,,,
m00112[r],"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine",C31H49NO4,C31H49NO4,0,r,,,,,
m00114[c],"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",C24H36O2,C24H36O2,0,c,,,,,
m00114[l],"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",C24H36O2,C24H36O2,0,l,,,,,
m00114[r],"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",C24H36O2,C24H36O2,0,r,,,,,
m00114[s],"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",C24H36O2,C24H36O2,0,s,,,,,
m00115[c],(7Z)-octadecenoic acid,C18H34O2,C18H34O2,0,c,,,,,
m00115[l],(7Z)-octadecenoic acid,C18H34O2,C18H34O2,0,l,,,,,
m00115[r],(7Z)-octadecenoic acid,C18H34O2,C18H34O2,0,r,,,,,
m00115[s],(7Z)-octadecenoic acid,C18H34O2,C18H34O2,0,s,,,,,
m00116[c],(7Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,c,,,,,
m00116[m],(7Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,m,,,,,
m00116[r],(7Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,r,,,,,
m00117[c],(7Z)-tetradecenoic acid,C14H26O2,C14H26O2,0,c,,,CHEBI:53206,,
m00117[l],(7Z)-tetradecenoic acid,C14H26O2,C14H26O2,0,l,,,CHEBI:53206,,
m00117[r],(7Z)-tetradecenoic acid,C14H26O2,C14H26O2,0,r,,,CHEBI:53206,,
m00117[s],(7Z)-tetradecenoic acid,C14H26O2,C14H26O2,0,s,,,CHEBI:53206,,
m00118[c],(7Z)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,c,,,,,
m00118[m],(7Z)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,m,,,,,
m00118[p],(7Z)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,p,,,,,
m00118[r],(7Z)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,r,,,,,
m00120[c],"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,c,,,,,
m00120[m],"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,m,,,,,
m00120[r],"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",C29H47NO4,C29H47NO4,0,r,,,,,
m00122[c],"(8Z,11Z)-eicosadienoylcarnitine",C27H49NO4,C27H49NO4,0,c,,,,,
m00122[m],"(8Z,11Z)-eicosadienoylcarnitine",C27H49NO4,C27H49NO4,0,m,,,,,
m00122[r],"(8Z,11Z)-eicosadienoylcarnitine",C27H49NO4,C27H49NO4,0,r,,,,,
m00123[c],"(8Z,11Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,c,,,,,
m00123[m],"(8Z,11Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,m,,,,,
m00123[r],"(8Z,11Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,r,,,,,
m00124[c],"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine",C27H45NO4,C27H45NO4,0,c,,,,,
m00124[m],"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine",C27H45NO4,C27H45NO4,0,m,,,,,
m00124[r],"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine",C27H45NO4,C27H45NO4,0,r,,,,,
m00126[c],(9E)-octadecenoylcarnitine,C25H47NO4,C25H47NO4,0,c,,,,,
m00126[m],(9E)-octadecenoylcarnitine,C25H47NO4,C25H47NO4,0,m,,,,,
m00126[r],(9E)-octadecenoylcarnitine,C25H47NO4,C25H47NO4,0,r,,,,,
m00127[c],(9E)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,c,,,,,
m00127[m],(9E)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,m,,,,,
m00127[r],(9E)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,r,,,,,
m00128[c],(9E)-tetradecenoic acid,C14H26O2,C14H26O2,0,c,,,,,
m00128[l],(9E)-tetradecenoic acid,C14H26O2,C14H26O2,0,l,,,,,
m00128[r],(9E)-tetradecenoic acid,C14H26O2,C14H26O2,0,r,,,,,
m00128[s],(9E)-tetradecenoic acid,C14H26O2,C14H26O2,0,s,,,,,
m00129[c],(9E)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,c,,,,,
m00129[m],(9E)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,m,,,,,
m00129[r],(9E)-tetradecenoyl-CoA,C35H60N7O17P3S,C35H60N7O17P3S,0,r,,,,,
m00130[c],"(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine",C31H53NO4,C31H53NO4,0,c,,,,,
m00130[r],"(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine",C31H53NO4,C31H53NO4,0,r,,,,,
m00132[c],"(9Z,12Z,15Z,18Z)-TTA",C24H40O2,C24H40O2,0,c,,,,,
m00132[l],"(9Z,12Z,15Z,18Z)-TTA",C24H40O2,C24H40O2,0,l,,,,,
m00132[r],"(9Z,12Z,15Z,18Z)-TTA",C24H40O2,C24H40O2,0,r,,,,,
m00132[s],"(9Z,12Z,15Z,18Z)-TTA",C24H40O2,C24H40O2,0,s,,,,,
m00133[c],"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine",C31H51NO4,C31H51NO4,0,c,,,,,
m00133[r],"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine",C31H51NO4,C31H51NO4,0,r,,,,,
m00135[c],"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H38O2,C24H38O2,0,c,,,,,
m00135[l],"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H38O2,C24H38O2,0,l,,,,,
m00135[r],"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H38O2,C24H38O2,0,r,,,,,
m00135[s],"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H38O2,C24H38O2,0,s,,,,,
m00138[g],(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C76H127N2O60X,C76H127N2O60X,0,g,,,,,
m00138[r],(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C76H127N2O60X,C76H127N2O60X,0,r,,,,,
m00139[g],(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C82H137N2O65X,C82H137N2O65X,0,g,,,,,
m00139[r],(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C82H137N2O65X,C82H137N2O65X,0,r,,,,,
m00140[g],(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C88H147N2O70X,C88H147N2O70X,0,g,,,,,
m00140[r],(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C88H147N2O70X,C88H147N2O70X,0,r,,,,,
m00141[l],(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine,C26H45NO21,C26H45NO21,0,l,,,,,
m00142[g],(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C46H77N2O35X,C46H77N2O35X,0,g,,,,,
m00143[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1),C52H87N2O40X,C52H87N2O40X,0,g,,,,,
m00144[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2),C52H87N2O40X,C52H87N2O40X,0,g,,,,,
m00145[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C),C52H87N2O40X,C52H87N2O40X,0,g,,,,,
m00146[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A),C58H97N2O45X,C58H97N2O45X,0,g,,,,,
m00147[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1),C58H97N2O45X,C58H97N2O45X,0,g,,,,,
m00148[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2),C58H97N2O45X,C58H97N2O45X,0,g,,,,,
m00149[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C),C58H97N2O45X,C58H97N2O45X,0,g,,,,,
m00150[g],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)",C64H107N2O50X,C64H107N2O50X,0,g,,,,,
m00151[g],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",C64H107N2O50X,C64H107N2O50X,0,g,,,,,
m00151[r],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",C64H107N2O50X,C64H107N2O50X,0,r,,,,,
m00152[g],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",C64H107N2O50X,C64H107N2O50X,0,g,,,,,
m00153[g],(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C70H117N2O55X,C70H117N2O55X,0,g,,,,,
m00153[r],(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C70H117N2O55X,C70H117N2O55X,0,r,,,,,
m00156[c],"(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline",C11H15NO2,C11H15NO2,0,c,,,,,
m00170[m],(S)-3-hydroxy-11-cis-octadecenoyl-CoA,C39H68N7O18P3S,C39H68N7O18P3S,0,m,,,,,
m00170[p],(S)-3-hydroxy-11-cis-octadecenoyl-CoA,C39H68N7O18P3S,C39H68N7O18P3S,0,p,,,,,
m00172[m],(S)-3-hydroxy-7-hexadecenoyl-CoA,C37H64N7O18P3S,C37H64N7O18P3S,0,m,,,,,
m00172[p],(S)-3-hydroxy-7-hexadecenoyl-CoA,C37H64N7O18P3S,C37H64N7O18P3S,0,p,,,,,
m00176[m],(S)-3-hydroxyoleyleoyl-CoA,C39H68N7O18P3S,C39H68N7O18P3S,0,m,,,,,
m00176[p],(S)-3-hydroxyoleyleoyl-CoA,C39H68N7O18P3S,C39H68N7O18P3S,0,p,,,,,
m00177[m],(S)-3-hydroxypalmitoleoyl-CoA,C37H64N7O18P3S,C37H64N7O18P3S,0,m,,,,,
m00177[p],(S)-3-hydroxypalmitoleoyl-CoA,C37H64N7O18P3S,C37H64N7O18P3S,0,p,,,,,
m00185[c],[apocarboxlase],XH,XH,0,c,,,,,
m00221[c],"1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",C17H22N2O7,C17H22N2O7,0,c,,,,,
m00230[c],"1,2,3,4-tetrahydro-beta-carboline",C11H12N2,C11H12N2,0,c,,,,,
m00231[c],"1,2-dehydrosalsolinol",C10H11NO2,C10H11NO2,0,c,,,,,
